"sim","n","p","model","rmse"
2,200,10,"Ridge",2.93947996402696
2,200,10,"RF_Ridge",3.12391086793286
2,200,10,"XGBoost_Ridge",2.80388397496671
2,200,10,"LightGBM_Ridge",2.16831757899488
2,200,10,"CatBoost_Ridge",2.4826136299594
2,200,10,"H2OGBM_Ridge",2.46178429825243
2,200,10,"Lasso",2.90304039803244
2,200,10,"RF_Lasso",3.09643188166036
2,200,10,"XGBoost_Lasso",2.87955837046447
2,200,10,"LightGBM_Lasso",2.64807100065114
2,200,10,"CatBoost_Lasso",2.55801673165336
2,200,10,"H2OGBM_Lasso",2.82969422302261
2,200,10,"ElasticNet",2.93450788215247
2,200,10,"RF_ElasticNet",3.07186705239241
2,200,10,"XGBoost_ElasticNet",2.87955837046447
2,200,10,"LightGBM_ElasticNet",2.64807100065114
2,200,10,"CatBoost_ElasticNet",2.55801673165336
2,200,10,"H2OGBM_ElasticNet",2.82969422302261
2,200,10,"RF_Full",3.1216448564887
2,200,10,"XGBoost_Full",2.80388397496671
2,200,10,"LightGBM_Full",2.16831757899488
2,200,10,"CatBoost_Full",2.4826136299594
2,200,10,"H2OGBM_Full",2.46178429825243
3,200,10,"Ridge",2.45280403480074
3,200,10,"RF_Ridge",3.17986217055505
3,200,10,"XGBoost_Ridge",2.63056297026193
3,200,10,"LightGBM_Ridge",2.02316183422303
3,200,10,"CatBoost_Ridge",2.36706306777496
3,200,10,"H2OGBM_Ridge",2.29504701217471
3,200,10,"Lasso",2.45277649285322
3,200,10,"RF_Lasso",3.02048498920338
3,200,10,"XGBoost_Lasso",2.79292735030267
3,200,10,"LightGBM_Lasso",1.97418728463794
3,200,10,"CatBoost_Lasso",2.20949071151969
3,200,10,"H2OGBM_Lasso",2.32551048829501
3,200,10,"ElasticNet",2.4464868841649
3,200,10,"RF_ElasticNet",3.21321819970795
3,200,10,"XGBoost_ElasticNet",2.63056297026193
3,200,10,"LightGBM_ElasticNet",2.02316183422303
3,200,10,"CatBoost_ElasticNet",2.36706306777496
3,200,10,"H2OGBM_ElasticNet",2.29504701217471
3,200,10,"RF_Full",3.2397235523957
3,200,10,"XGBoost_Full",2.63056297026193
3,200,10,"LightGBM_Full",2.02316183422303
3,200,10,"CatBoost_Full",2.36706306777496
3,200,10,"H2OGBM_Full",2.29504701217471
4,200,10,"Ridge",2.77659195804942
4,200,10,"RF_Ridge",2.71166676648554
4,200,10,"XGBoost_Ridge",2.6346759433532
4,200,10,"LightGBM_Ridge",2.201374717802
4,200,10,"CatBoost_Ridge",1.99276446885037
4,200,10,"H2OGBM_Ridge",2.29495028348358
4,200,10,"Lasso",2.77145204194238
4,200,10,"RF_Lasso",2.67580964880119
4,200,10,"XGBoost_Lasso",2.60095765772354
4,200,10,"LightGBM_Lasso",2.49155828570923
4,200,10,"CatBoost_Lasso",2.30743265475421
4,200,10,"H2OGBM_Lasso",2.48560155565909
4,200,10,"ElasticNet",2.77757421723351
4,200,10,"RF_ElasticNet",2.7282742510425
4,200,10,"XGBoost_ElasticNet",2.60095765772354
4,200,10,"LightGBM_ElasticNet",2.49155828570923
4,200,10,"CatBoost_ElasticNet",2.30743265475421
4,200,10,"H2OGBM_ElasticNet",2.48560155565909
4,200,10,"RF_Full",2.67556236314261
4,200,10,"XGBoost_Full",2.6346759433532
4,200,10,"LightGBM_Full",2.201374717802
4,200,10,"CatBoost_Full",1.99276446885037
4,200,10,"H2OGBM_Full",2.29495028348358
5,200,10,"Ridge",2.16094703742027
5,200,10,"RF_Ridge",2.72473491694522
5,200,10,"XGBoost_Ridge",2.51288417707299
5,200,10,"LightGBM_Ridge",2.08293582150791
5,200,10,"CatBoost_Ridge",2.24397252269868
5,200,10,"H2OGBM_Ridge",2.24894958436312
5,200,10,"Lasso",2.19660125101805
5,200,10,"RF_Lasso",2.64970416494521
5,200,10,"XGBoost_Lasso",2.58521587888614
5,200,10,"LightGBM_Lasso",2.50413258437466
5,200,10,"CatBoost_Lasso",2.50473056093522
5,200,10,"H2OGBM_Lasso",2.50105464065879
5,200,10,"ElasticNet",2.17350856151174
5,200,10,"RF_ElasticNet",2.71957883007814
5,200,10,"XGBoost_ElasticNet",2.27737716073587
5,200,10,"LightGBM_ElasticNet",2.05597865012871
5,200,10,"CatBoost_ElasticNet",2.23195425654759
5,200,10,"H2OGBM_ElasticNet",2.27185893278036
5,200,10,"RF_Full",2.67216378383036
5,200,10,"XGBoost_Full",2.51288417707299
5,200,10,"LightGBM_Full",2.08293582150791
5,200,10,"CatBoost_Full",2.24397252269868
5,200,10,"H2OGBM_Full",2.24894958436312
6,200,10,"Ridge",2.94108242802712
6,200,10,"RF_Ridge",2.74588116619015
6,200,10,"XGBoost_Ridge",2.2947137892661
6,200,10,"LightGBM_Ridge",2.18362965367249
6,200,10,"CatBoost_Ridge",2.34206268404851
6,200,10,"H2OGBM_Ridge",1.91246374061102
6,200,10,"Lasso",2.93110433397378
6,200,10,"RF_Lasso",2.63002709879645
6,200,10,"XGBoost_Lasso",2.16998702504025
6,200,10,"LightGBM_Lasso",2.09950782464042
6,200,10,"CatBoost_Lasso",2.2096702895117
6,200,10,"H2OGBM_Lasso",1.92182671307787
6,200,10,"ElasticNet",2.92201566506011
6,200,10,"RF_ElasticNet",2.64231251261248
6,200,10,"XGBoost_ElasticNet",2.2776468148853
6,200,10,"LightGBM_ElasticNet",2.16432500237913
6,200,10,"CatBoost_ElasticNet",2.23589563290759
6,200,10,"H2OGBM_ElasticNet",1.79448007531838
6,200,10,"RF_Full",2.79339400588371
6,200,10,"XGBoost_Full",2.2947137892661
6,200,10,"LightGBM_Full",2.18362965367249
6,200,10,"CatBoost_Full",2.34206268404851
6,200,10,"H2OGBM_Full",1.91246374061102
7,200,10,"Ridge",2.39565590203155
7,200,10,"RF_Ridge",2.76831546749902
7,200,10,"XGBoost_Ridge",2.48358556414218
7,200,10,"LightGBM_Ridge",2.05273571841136
7,200,10,"CatBoost_Ridge",2.37031716036584
7,200,10,"H2OGBM_Ridge",2.05404049435405
7,200,10,"Lasso",2.32759251788714
7,200,10,"RF_Lasso",2.67712306685651
7,200,10,"XGBoost_Lasso",2.53763728681294
7,200,10,"LightGBM_Lasso",1.96769718019433
7,200,10,"CatBoost_Lasso",2.12120727626036
7,200,10,"H2OGBM_Lasso",1.98839264599318
7,200,10,"ElasticNet",2.35903345117574
7,200,10,"RF_ElasticNet",2.67583866049677
7,200,10,"XGBoost_ElasticNet",2.53763728681294
7,200,10,"LightGBM_ElasticNet",1.96769718019433
7,200,10,"CatBoost_ElasticNet",2.12120727626036
7,200,10,"H2OGBM_ElasticNet",1.98839264599318
7,200,10,"RF_Full",2.77424528635689
7,200,10,"XGBoost_Full",2.48358556414218
7,200,10,"LightGBM_Full",2.05273571841136
7,200,10,"CatBoost_Full",2.37031716036584
7,200,10,"H2OGBM_Full",2.05404049435405
8,200,10,"Ridge",2.7806252508078
8,200,10,"RF_Ridge",2.89118204123285
8,200,10,"XGBoost_Ridge",2.81997048720366
8,200,10,"LightGBM_Ridge",2.08784445875985
8,200,10,"CatBoost_Ridge",2.52557888144648
8,200,10,"H2OGBM_Ridge",2.44095705556374
8,200,10,"Lasso",2.76837231717614
8,200,10,"RF_Lasso",2.94265012947631
8,200,10,"XGBoost_Lasso",2.47566928113168
8,200,10,"LightGBM_Lasso",2.07881332921126
8,200,10,"CatBoost_Lasso",2.32075890073823
8,200,10,"H2OGBM_Lasso",2.3838632697817
8,200,10,"ElasticNet",2.76853285772499
8,200,10,"RF_ElasticNet",2.86363938195979
8,200,10,"XGBoost_ElasticNet",2.47566928113168
8,200,10,"LightGBM_ElasticNet",2.07881332921126
8,200,10,"CatBoost_ElasticNet",2.32075890073823
8,200,10,"H2OGBM_ElasticNet",2.3838632697817
8,200,10,"RF_Full",2.85636436082115
8,200,10,"XGBoost_Full",2.81997048720366
8,200,10,"LightGBM_Full",2.08784445875985
8,200,10,"CatBoost_Full",2.52557888144648
8,200,10,"H2OGBM_Full",2.44095705556374
9,200,10,"Ridge",2.34746821051038
9,200,10,"RF_Ridge",2.71226389916321
9,200,10,"XGBoost_Ridge",2.41562414533556
9,200,10,"LightGBM_Ridge",2.30695688897562
9,200,10,"CatBoost_Ridge",2.29619680895598
9,200,10,"H2OGBM_Ridge",2.00933602602824
9,200,10,"Lasso",2.41679197605716
9,200,10,"RF_Lasso",2.75946987771732
9,200,10,"XGBoost_Lasso",2.17079960587042
9,200,10,"LightGBM_Lasso",2.21290791783604
9,200,10,"CatBoost_Lasso",2.22987216589334
9,200,10,"H2OGBM_Lasso",2.09491649921017
9,200,10,"ElasticNet",2.32025668016997
9,200,10,"RF_ElasticNet",2.75058995107264
9,200,10,"XGBoost_ElasticNet",2.41562414533556
9,200,10,"LightGBM_ElasticNet",2.30695688897562
9,200,10,"CatBoost_ElasticNet",2.29619680895598
9,200,10,"H2OGBM_ElasticNet",2.00933602602824
